length_mm,weight_g,year,basin
215,65,2023,ref
235,104,2023,treat
231,100,2023,ref
350,384,2023,treat
389,540,2023,treat
341,355,2023,ref
352,395,2023,ref
352,400,2023,treat
254,145,2023,ref
328,328,2023,treat
385,550,2023,treat
249,140,2023,treat
234,115,2023,ref
361,460,2023,treat
345,400,2023,ref
268,180,2023,ref
330,350,2023,ref
321,325,2023,ref
315,310,2023,treat
341,400,2023,treat
370,520,2023,treat
350,436,2023,treat
233,120,2023,ref
364,500,2023,ref
300,270,2023,ref
325,350,2023,treat
361,490,2023,treat
407,720,2023,ref
345,425,2023,treat
301,275,2023,ref
238,130,2023,treat
284,230,2023,ref
263,180,2023,treat
349,445,2023,treat
291,250,2023,ref
337,400,2023,ref
273,205,2023,treat
250,155,2023,ref
315,326,2023,treat
313,320,2023,treat
319,340,2023,treat
230,120,2023,ref
254,165,2023,ref
345,440,2023,treat
285,240,2023,treat
278,222,2023,treat
260,180,2023,ref
305,300,2023,ref
288,250,2023,ref
320,350,2023,treat
303,295,2023,treat
233,128,2023,ref
380,610,2023,treat
352,480,2023,treat
313,330,2023,treat
261,185,2023,ref
303,298,2023,treat
286,248,2023,treat
280,232,2023,treat
244,150,2023,ref
349,470,2023,ref
349,470,2023,treat
267,200,2023,ref
358,510,2023,treat
233,130,2023,treat
258,180,2023,treat
366,550,2023,treat
430,920,2023,treat
323,370,2023,ref
276,225,2023,treat
351,485,2023,treat
285,250,2023,treat
285,250,2023,treat
281,240,2023,treat
308,322,2023,ref
261,190,2023,ref
378,620,2023,treat
313,340,2023,treat
310,330,2023,treat
242,150,2023,ref
294,280,2023,treat
294,280,2023,treat
310,332,2023,treat
287,260,2023,treat
331,410,2023,treat
350,490,2023,treat
300,300,2023,ref
251,170,2023,ref
264,200,2023,treat
313,345,2023,ref
376,620,2023,ref
340,450,2023,ref
307,325,2023,ref
279,240,2023,ref
342,460,2023,ref
299,300,2023,ref
275,230,2023,treat
250,170,2023,ref
250,170,2023,treat
350,500,2023,treat
350,500,2023,treat
432,980,2023,treat
302,315,2023,ref
312,350,2023,treat
375,630,2023,treat
251,175,2023,ref
234,140,2023,treat
300,310,2023,treat
253,180,2023,treat
359,550,2023,ref
275,235,2023,treat
310,345,2023,ref
255,185,2023,ref
196,80,2023,ref
370,608,2023,treat
265,210,2023,ref
265,210,2023,ref
366,590,2023,treat
243,160,2023,ref
330,425,2023,treat
310,350,2023,ref
300,318,2023,ref
384,700,2023,treat
356,550,2023,treat
306,340,2023,treat
400,800,2023,ref
294,300,2023,ref
281,260,2023,ref
375,655,2023,treat
250,180,2023,ref
