Type,Wet,DOC
Lake,0.096103953,4.178
Lake,0.131503619,3.556
Lake,0.191018439,2.52875
Lake,0.186766429,17.16
Lake,0.360572055,20.48333333
Lake,0.216002963,9.886666667
Lake,0.094820047,4.759
Lake,0.117460098,7.9
Lake,0.243442639,5.33625
Lake,0.170887049,6.396
Lake,0.158942228,7.58425
Lake,0.121346287,16.265
Lake,0.118423887,7.941
Lake,0.158426834,9.15675
Lake,0.134761941,5.17475
Lake,0.17608472,17.1325
Lake,0.306495523,7.12625
Lake,0.177484414,12.19
Lake,0.222047268,11.245
Lake,0.29343221,4.419
Lake,0.371140367,5.43075
Lake,0.193067521,6.676
Lake,0.527515772,19.6175
Lake,0.020784584,6.26075
Lake,0.014900822,3.68325
Lake,0.373331352,4.643
Lake,0.295912931,21.3525
Lake,0.138201434,5.76825
Lake,0.30634749,10.2325
Lake,0.498491972,15.66
Lake,0.189103816,7.6775
Lake,0.307237676,41.915
Lake,0.407318195,16.8075
Lake,0.538855599,6.96725
Lake,0.524,
Lake,,12.555
No_Lake,0.208509549,6.191
No_Lake,0.509321066,36.695
No_Lake,0.33449751,22.09
No_Lake,0.649808038,32.92
No_Lake,0.343405701,8.045
No_Lake,0.520189064,39.17
No_Lake,0.477525476,14.8275
No_Lake,0.54634473,48.84
No_Lake,0.689461545,62.9475
No_Lake,0.282465499,4.3915
No_Lake,0.111416504,3.13275
No_Lake,0.506797749,24.8725
No_Lake,0.368585833,4.6245
No_Lake,0.192047044,13.27
No_Lake,0.545760779,31.915
No_Lake,0.540524109,21.695
No_Lake,0.686476095,38.805
No_Lake,0.439227882,35.8975
