"","Type","Wet","DOC","logDOC","prcntWet"
"1","Lake",0.096103953,4.178,1.42983266313437,9.6103953
"2","Lake",0.131503619,3.556,1.26863631765166,13.1503619
"3","Lake",0.191018439,2.52875,0.927725109499818,19.1018439
"4","Lake",0.186766429,17.16,2.84258109405982,18.6766429
"5","Lake",0.360572055,20.48333333,3.0196115471812,36.0572055
"6","Lake",0.216002963,9.886666667,2.29118704807539,21.6002963
"7","Lake",0.094820047,4.759,1.56003756213897,9.4820047
"8","Lake",0.117460098,7.9,2.06686275947298,11.7460098
"9","Lake",0.243442639,5.33625,1.67452315909003,24.3442639
"10","Lake",0.170887049,6.396,1.85567279497171,17.0887049
"11","Lake",0.158942228,7.58425,2.02607372854444,15.8942228
"12","Lake",0.121346287,16.265,2.78901555992532,12.1346287
"13","Lake",0.118423887,7.941,2.07203921191307,11.8423887
"14","Lake",0.158426834,9.15675,2.21449131223494,15.8426834
"15","Lake",0.134761941,5.17475,1.64379102880576,13.4761941
"16","Lake",0.17608472,17.1325,2.84097724447784,17.608472
"17","Lake",0.306495523,7.12625,1.96378514936365,30.6495523
"18","Lake",0.177484414,12.19,2.50061594349318,17.7484414
"19","Lake",0.222047268,11.245,2.41992358541128,22.2047268
"20","Lake",0.29343221,4.419,1.4859134261486,29.343221
"21","Lake",0.371140367,5.43075,1.6920772459549,37.1140367
"22","Lake",0.193067521,6.676,1.89851900579959,19.3067521
"23","Lake",0.527515772,19.6175,2.97642202501949,52.7515772
"24","Lake",0.020784584,6.26075,1.83429998624227,2.0784584
"25","Lake",0.014900822,3.68325,1.30379551460533,1.4900822
"26","Lake",0.373331352,4.643,1.53536070903778,37.3331352
"27","Lake",0.295912931,21.3525,3.06116882883817,29.5912931
"28","Lake",0.138201434,5.76825,1.75236874162314,13.8201434
"29","Lake",0.30634749,10.2325,2.32556892938442,30.634749
"30","Lake",0.498491972,15.66,2.75110969056266,49.8491972
"31","Lake",0.189103816,7.6775,2.03829397333284,18.9103816
"32","Lake",0.307237676,41.915,3.73564375808982,30.7237676
"33","Lake",0.407318195,16.8075,2.82182521536105,40.7318195
"34","Lake",0.538855599,6.96725,1.94122059885474,53.8855599
"35","Lake",0.524,NA,NA,52.4
"36","Lake",NA,12.555,2.53011899260955,NA
"37","No_Lake",0.208509549,6.191,1.82309662453709,20.8509549
"38","No_Lake",0.509321066,36.695,3.60264050599703,50.9321066
"39","No_Lake",0.33449751,22.09,3.09512501743203,33.449751
"40","No_Lake",0.649808038,32.92,3.49408037580887,64.9808038
"41","No_Lake",0.343405701,8.045,2.08505078044435,34.3405701
"42","No_Lake",0.520189064,39.17,3.66791114767774,52.0189064
"43","No_Lake",0.477525476,14.8275,2.69648356473074,47.7525476
"44","No_Lake",0.54634473,48.84,3.8885496492425,54.634473
"45","No_Lake",0.689461545,62.9475,4.14230104564295,68.9461545
"46","No_Lake",0.282465499,4.3915,1.47967085437503,28.2465499
"47","No_Lake",0.111416504,3.13275,1.14191121306326,11.1416504
"48","No_Lake",0.506797749,24.8725,3.21376277548138,50.6797749
"49","No_Lake",0.368585833,4.6245,1.53136825701218,36.8585833
"50","No_Lake",0.192047044,13.27,2.58550584834412,19.2047044
"51","No_Lake",0.545760779,31.915,3.46307611870802,54.5760779
"52","No_Lake",0.540524109,21.695,3.07708181925031,54.0524109
"53","No_Lake",0.686476095,38.805,3.6585491043061,68.6476095
"54","No_Lake",0.439227882,35.8975,3.58066765518639,43.9227882
